op,size,cpu_time,cpu_time_2ss
Construct,256.0,1.20127,5.41134
Construct,1024.0,1.17233,5.41357
Construct,4096.0,1.18871,5.41338
Construct,16384.0,1.20723,5.41329
Construct,65536.0,1.17003,5.41095
Construct,262144.0,1.19788,5.40828
Construct,1048576.0,1.13019,5.40434
PushRandom,256.0,6937.12,14364.7
PushRandom,512.0,14269.5,36897.2
PushRandom,1024.0,32467.7,96742.6
PushRandom,2048.0,78034.2,231966.0
PushRandom,4096.0,175250.0,508522.0
PushRandom,8192.0,688419.0,1177880.0
PushRandom,16384.0,1621870.0,2694190.0
PushRandom,32768.0,3923940.0,6391290.0
PushRandom,65536.0,9593580.0,15497000.0
PushRandom,131072.0,28710100.0,37740100.0
PushRandom,262144.0,99842500.0,108816000.0
PushRandom,524288.0,288196000.0,292413000.0
PushRandom,1048576.0,559389000.0,701938000.0
PushSortedAsc,256.0,7938.81,14819.7
PushSortedAsc,512.0,16592.5,31435.2
PushSortedAsc,1024.0,36192.0,67611.7
PushSortedAsc,2048.0,80557.1,146840.0
PushSortedAsc,4096.0,178393.0,321475.0
PushSortedAsc,8192.0,407262.0,716528.0
PushSortedAsc,16384.0,1134210.0,1793490.0
PushSortedAsc,32768.0,2574490.0,4828480.0
PushSortedAsc,65536.0,6076800.0,10068900.0
PushSortedAsc,131072.0,14077100.0,23393800.0
PushSortedAsc,262144.0,32128200.0,52733200.0
PushSortedAsc,524288.0,67283800.0,134944000.0
PushSortedAsc,1048576.0,138186000.0,295988000.0
PushSortedDesc,256.0,8474.88,15617.9
PushSortedDesc,512.0,18547.2,33463.5
PushSortedDesc,1024.0,41649.5,72017.6
PushSortedDesc,2048.0,94897.0,158080.0
PushSortedDesc,4096.0,207893.0,348127.0
PushSortedDesc,8192.0,527275.0,842777.0
PushSortedDesc,16384.0,1262960.0,2250310.0
PushSortedDesc,32768.0,3028260.0,4844820.0
PushSortedDesc,65536.0,6835640.0,10709400.0
PushSortedDesc,131072.0,15971100.0,24607300.0
PushSortedDesc,262144.0,33940200.0,54877800.0
PushSortedDesc,524288.0,77547300.0,150414000.0
PushSortedDesc,1048576.0,147389000.0,335581000.0
Extract,256.0,3864.86,12248.1
Extract,512.0,7282.91,23834.4
Extract,1024.0,14509.0,47880.8
Extract,2048.0,28574.8,99392.4
Extract,4096.0,65761.3,191313.0
Extract,8192.0,134643.0,379131.0
Extract,16384.0,276094.0,760877.0
Extract,32768.0,578068.0,1590080.0
Extract,65536.0,1257230.0,3240720.0
Extract,131072.0,3426440.0,6644670.0
Extract,262144.0,12130600.0,14435700.0
Extract,524288.0,25673100.0,43978400.0
Extract,1048576.0,43931300.0,131466000.0
Search,256.0,21.1741,2050.34
Search,1024.0,27.2523,15592.1
Search,4096.0,35.0225,101517.0
Search,16384.0,50.5039,605528.0
Search,65536.0,80.0267,3904980.0
Search,262144.0,186.978,26688900.0
Search,1048576.0,367.414,270740000.0
Remove,256.0,6471.12,5166.62
Remove,1024.0,25882.0,46134.9
Remove,4096.0,279975.0,242993.0
Remove,16384.0,1500560.0,1292760.0
Remove,65536.0,8810890.0,7765600.0
Remove,262144.0,61973700.0,50980200.0
Remove,1048576.0,412924000.0,398725000.0
